"collected_at","brand","domain","source_platform","source_method","record_level","product_id","variant_id","product_url","product_name","variant_title","sku","barcode","vendor","product_type","category_path","regular_price_vnd","sale_price_vnd","compare_at_price_vnd","currency","availability","inventory_quantity","inventory_management","inventory_policy","option1","option2","option3","image_url","images","tags","description","raw_source"
"2026-05-23T03:16:31.065248+00:00","Hoa Sen Home","hoasenhome.vn","Website","Sitemap + Magento GraphQL products API","product","","","https://hoasenhome.vn/product/mui-khoan-sds-plus-5x-8x100x160","Mũi khoan SDS PLUS-5X 8x100x160","","F03000168","","","","Thiết bị cầm tay | Phụ kiện | Thiết bị - Dụng cụ thi công","54432","54432","","VND","IN_STOCK","","","","","","","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000016_karndfjbjvwdje8j.jpg","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000016_karndfjbjvwdje8j.jpg","","Mũi khoan SDS PLUS-5X Đầu mũi khoan 4 lưỡi cắt giúp ngăn mũi không bị mắc kẹt trong bê tông cốt thép Thiết kế đầu với ""góc quay"" và 4 rãnh giúp thoát bụi nhanh để tăng tốc độ khoan và giảm hao mòn Đầu định tâm dẫn hướng để có được đường kính lỗ chính xác và mũi hoạt động hiệu quả hơn Đặc biệt, đầu chữ thâp nguyên khối làm từ vôn-phram carbide, tăng độ bền đến 1.5 lần khi dùng trên bê tông cốt thép Để minh chứng cho chất lượng, mũi khoan SDS PLUS-5X đã đạt nhãn hiệu kiểm định của Hội đồng hiệp hội mũi khoan tường PGM, đảm bảo tuân thủ những dung sai vô cùng nhỏ, khoan chính xác và giữ cố định chắc chắn . Mũi khoan được sử dụng cho mục đích khoan tường , đặc biệt dành cho bê tông cốt thép . Mũi khoan tương thích với máy khoan búa xoay có đầu giữ SDS plus.","magento_graphql"
"2026-05-23T03:16:31.065248+00:00","Hoa Sen Home","hoasenhome.vn","Website","Sitemap + Magento GraphQL products API","product","","","https://hoasenhome.vn/product/mui-khoan-sds-plus-5x-6x100x160","Mũi khoan SDS PLUS-5X 6x100x160","","F03000167","","","","Thiết bị cầm tay | Phụ kiện | Thiết bị - Dụng cụ thi công","49248","49248","","VND","IN_STOCK","","","","","","","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000015_vwhio2s6x2vsccqx.jpg","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000015_vwhio2s6x2vsccqx.jpg","","Mũi khoan SDS PLUS-5X Đầu mũi khoan 4 lưỡi cắt giúp ngăn mũi không bị mắc kẹt trong bê tông cốt thép Thiết kế đầu với ""góc quay"" và 4 rãnh giúp thoát bụi nhanh để tăng tốc độ khoan và giảm hao mòn Đầu định tâm dẫn hướng để có được đường kính lỗ chính xác và mũi hoạt động hiệu quả hơn Đặc biệt, đầu chữ thâp nguyên khối làm từ vôn-phram carbide, tăng độ bền đến 1.5 lần khi dùng trên bê tông cốt thép Để minh chứng cho chất lượng, mũi khoan SDS PLUS-5X đã đạt nhãn hiệu kiểm định của Hội đồng hiệp hội mũi khoan tường PGM, đảm bảo tuân thủ những dung sai vô cùng nhỏ, khoan chính xác và giữ cố định chắc chắn . Mũi khoan được sử dụng cho mục đích khoan tường , đặc biệt dành cho bê tông cốt thép . Mũi khoan tương thích với máy khoan búa xoay có đầu giữ SDS plus.","magento_graphql"
"2026-05-23T03:16:31.065248+00:00","Hoa Sen Home","hoasenhome.vn","Website","Sitemap + Magento GraphQL products API","product","","","https://hoasenhome.vn/product/mui-khoan-sds-plus-5x-6x50x110","Mũi khoan SDS PLUS-5X 6x50x110","","F03000175","","","","Thiết bị cầm tay | Phụ kiện | Thiết bị - Dụng cụ thi công","45360","45360","","VND","IN_STOCK","","","","","","","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000014_ltw40s7lspgsroqk.jpg","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000014_ltw40s7lspgsroqk.jpg","","Mũi khoan SDS PLUS-5X Đầu mũi khoan 4 lưỡi cắt giúp ngăn mũi không bị mắc kẹt trong bê tông cốt thép Thiết kế đầu với ""góc quay"" và 4 rãnh giúp thoát bụi nhanh để tăng tốc độ khoan và giảm hao mòn Đầu định tâm dẫn hướng để có được đường kính lỗ chính xác và mũi hoạt động hiệu quả hơn Đặc biệt, đầu chữ thâp nguyên khối làm từ vôn-phram carbide, tăng độ bền đến 1.5 lần khi dùng trên bê tông cốt thép Để minh chứng cho chất lượng, mũi khoan SDS PLUS-5X đã đạt nhãn hiệu kiểm định của Hội đồng hiệp hội mũi khoan tường PGM, đảm bảo tuân thủ những dung sai vô cùng nhỏ, khoan chính xác và giữ cố định chắc chắn . Mũi khoan được sử dụng cho mục đích khoan tường , đặc biệt dành cho bê tông cốt thép . Mũi khoan tương thích với máy khoan búa xoay có đầu giữ SDS plus.","magento_graphql"
"2026-05-23T03:16:31.065248+00:00","Hoa Sen Home","hoasenhome.vn","Website","Sitemap + Magento GraphQL products API","product","","","https://hoasenhome.vn/product/mui-khoan-tuong-concrete-10x80x120","Mũi khoan tường Concrete 10x80x120","","F03000173","","","","Thiết bị cầm tay | Phụ kiện | Thiết bị - Dụng cụ thi công","33912","33912","","VND","IN_STOCK","","","","","","","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000008_qa18jzcy8kh6ee88.jpg","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000008_qa18jzcy8kh6ee88.jpg","","Mũi Khoan Tường Bosch chuyên dùng cho các máy khoan động lực để khoan tường gạch và tường bê tông. Đường rãnh xoắn giúp thoát bụi nhanh, giúp tăng tốc độ khoan và tăng tuổi thọ mũi Được làm bằng thép không gỉ rắn chắc, chịu lực tốt khi khoan lên tường hay bê tông.","magento_graphql"
"2026-05-23T03:16:31.065248+00:00","Hoa Sen Home","hoasenhome.vn","Website","Sitemap + Magento GraphQL products API","product","","","https://hoasenhome.vn/product/mui-khoan-tuong-concrete-8x80x120","Mũi khoan tường Concrete 8x80x120","","F03000176","","","","Thiết bị cầm tay | Phụ kiện | Thiết bị - Dụng cụ thi công","27756","27756","","VND","IN_STOCK","","","","","","","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000007_g3ic6ejjypdoobpn.jpg","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000007_g3ic6ejjypdoobpn.jpg","","- Loại mũi khoan này có khả năng khoan các loại vật cứng như gạch và bê tông. Đây là loại mũi khoan chuyên dụng được lắp vào các máy khoan động lực để khoan tường. - Đầu mũi được thiết kế với đường rãnh xoắn giúp thoát bụi nhanh và giữ vệ sinh cho không khí xung quanh môi trường khoan, đảm bảo sức khỏe hô hấp cho người khoan thời gian dài. Bên cạnh đó, đường rãnh xoắn này có giúp tăng tốc độ khoan để cải thiện tính hiệu quả của quá trình khoan, đồng thời tăng được tuổi thọ cho mũi. - Mũi khoan được làm bằng chất liệu thép không gỉ nên có độ bền cơ học cao, rắn chắc chịu lực tốt và chống chịu được với mọi điều kiện của môi trường để hạn chế bị ăn mòn, oxy hóa, han gỉ, đảm bảo duy trì vệ sinh cho mũi khoan. - Mũi khoan có kích thước gọn nhẹ, thuận tiện mang theo và vận chuyển đến nhiều công trình thi công khác nhau.","magento_graphql"
"2026-05-23T03:16:31.065248+00:00","Hoa Sen Home","hoasenhome.vn","Website","Sitemap + Magento GraphQL products API","product","","","https://hoasenhome.vn/product/mui-khoan-tuong-concrete-6x60x100","Mũi khoan tường Concrete 6x60x100","","F03000174","","","","Thiết bị cầm tay | Phụ kiện | Thiết bị - Dụng cụ thi công","21600","21600","","VND","IN_STOCK","","","","","","","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000006_uovoc2pmqfoo0ru0.jpg","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000006_uovoc2pmqfoo0ru0.jpg","","Mũi Khoan Tường Bosch chuyên dùng cho các máy khoan động lực để khoan tường gạch và tường bê tông. Đường rãnh xoắn giúp thoát bụi nhanh, giúp tăng tốc độ khoan và tăng tuổi thọ mũi Được làm bằng thép không gỉ rắn chắc, chịu lực tốt khi khoan lên tường hay bê tông.","magento_graphql"
"2026-05-23T03:16:31.065248+00:00","Hoa Sen Home","hoasenhome.vn","Website","Sitemap + Magento GraphQL products API","product","","","https://hoasenhome.vn/product/mui-khoan-sat-hss-g-120mm-hop-5-mui","Mũi khoan sắt HSS-G 12.0mm hộp 5 mũi","","F03000193","","","","Thiết bị cầm tay | Phụ kiện | Thiết bị - Dụng cụ thi công","690120","690120","","VND","IN_STOCK","","","","","","","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000005_3npauxysin2fqzkr.jpg","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000005_3npauxysin2fqzkr.jpg","","Điểm nổi bật của Bộ mũi khoan sắt 5 mũi HSS-G Bosch: - Mũi khoan xoắn chất liệu thép tốc độ cao được sản xuất theo tiêu chuẩn DIN 338 - Mũi khoan xoắn phải, Kiểu N, đầu mũi khoan 135°, đầu xẻ được sản xuất theo tiêu chuẩn DIN 1412 C, dung sai đường kính h 8 - Đường kính chuôi khoan bằng với đầu mũi khoan, màu mũi khoan: bóng Hai mũi cắt, hình trụ, hay rãnh Lý do bạn nên mua Bộ mũi khoan sắt 5 mũi HSS-G Bosch Mũi khoan được gia công tỉ mỉ, công phu tạo độ sắc bén, đảm bảo độ chính xác cao, giúp công việc hoàn thành hiệu quả nhất. Thiết kế tiện lợi, dễ dàng sử dụng, dễ dàng tháo lắp hiệu quả mà không tốn nhiều công sức. Mũi khoan được thiết kế phù hợp với nhiều loại máy khoan khác.Tăng tốc mũi khoan từ 40-60% so với mũi khoan truyền thống.","magento_graphql"
"2026-05-23T03:16:31.065248+00:00","Hoa Sen Home","hoasenhome.vn","Website","Sitemap + Magento GraphQL products API","product","","","https://hoasenhome.vn/product/mui-khoan-sat-hss-g-100mm-hop-5-mui","Mũi khoan sắt HSS-G 10.0mm hộp 5 mũi","","F03000192","","","","Thiết bị cầm tay | Phụ kiện | Thiết bị - Dụng cụ thi công","439560","439560","","VND","IN_STOCK","","","","","","","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000004_3ysvgy1wunsnbcfo.jpg","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000004_3ysvgy1wunsnbcfo.jpg","","Điểm nổi bật của Bộ mũi khoan sắt 5 mũi HSS-G Bosch: - Mũi khoan xoắn chất liệu thép tốc độ cao được sản xuất theo tiêu chuẩn DIN 338 - Mũi khoan xoắn phải, Kiểu N, đầu mũi khoan 135°, đầu xẻ được sản xuất theo tiêu chuẩn DIN 1412 C, dung sai đường kính h 8 - Đường kính chuôi khoan bằng với đầu mũi khoan, màu mũi khoan: bóng Hai mũi cắt, hình trụ, hay rãnh Lý do bạn nên mua Bộ mũi khoan sắt 5 mũi HSS-G Bosch Mũi khoan được gia công tỉ mỉ, công phu tạo độ sắc bén, đảm bảo độ chính xác cao, giúp công việc hoàn thành hiệu quả nhất. Thiết kế tiện lợi, dễ dàng sử dụng, dễ dàng tháo lắp hiệu quả mà không tốn nhiều công sức. Mũi khoan được thiết kế phù hợp với nhiều loại máy khoan khác.Tăng tốc mũi khoan từ 40-60% so với mũi khoan truyền thống.","magento_graphql"
"2026-05-23T03:16:31.065248+00:00","Hoa Sen Home","hoasenhome.vn","Website","Sitemap + Magento GraphQL products API","product","","","https://hoasenhome.vn/product/mui-khoan-sat-hss-g-80mm-hop-5-mui","Mũi khoan sắt HSS-G 8.0mm hộp 5 mũi","","F03000195","","","","Thiết bị cầm tay | Phụ kiện | Thiết bị - Dụng cụ thi công","295920","295920","","VND","IN_STOCK","","","","","","","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000003_2ze6l0lbdyx0sdhg.jpg","https://cdn.hoasenhome.vn/catalog/product/c/2/c27000003_2ze6l0lbdyx0sdhg.jpg","","Điểm nổi bật của Bộ mũi khoan sắt 5 mũi HSS-G Bosch: - Mũi khoan xoắn chất liệu thép tốc độ cao được sản xuất theo tiêu chuẩn DIN 338 - Mũi khoan xoắn phải, Kiểu N, đầu mũi khoan 135°, đầu xẻ được sản xuất theo tiêu chuẩn DIN 1412 C, dung sai đường kính h 8 - Đường kính chuôi khoan bằng với đầu mũi khoan, màu mũi khoan: bóng Hai mũi cắt, hình trụ, hay rãnh Lý do bạn nên mua Bộ mũi khoan sắt 5 mũi HSS-G Bosch Mũi khoan được gia công tỉ mỉ, công phu tạo độ sắc bén, đảm bảo độ chính xác cao, giúp công việc hoàn thành hiệu quả nhất. Thiết kế tiện lợi, dễ dàng sử dụng, dễ dàng tháo lắp hiệu quả mà không tốn nhiều công sức. Mũi khoan được thiết kế phù hợp với nhiều loại máy khoan khác.Tăng tốc mũi khoan từ 40-60% so với mũi khoan truyền thống.","magento_graphql"
"2026-05-23T03:16:31.065248+00:00","Hoa Sen Home","hoasenhome.vn","Website","Sitemap + Magento GraphQL products API","product","","","https://hoasenhome.vn/product/bon-nuoc-nhua-ngang-toan-my-2000l-1230mm","Bồn nước Nhựa ngang Toàn Mỹ: 2000L-1230mm","","H07000015","","","","Bồn nước - Máy nước nóng | Bồn nước nhựa","9201600","9201600","","VND","IN_STOCK","","","","","","","https://cdn.hoasenhome.vn/catalog/product/b/o/bon-nhua-ngang_vrke3voegbvkhuey.jpg","https://cdn.hoasenhome.vn/catalog/product/b/o/bon-nhua-ngang_vrke3voegbvkhuey.jpg","","Bồn nhựa nguyên sinh Toàn Mỹ ECO chịu được mọi điều kiện thời tiết, không nứt vỡ, thích hợp chứa nước, hóa chất và thực phẩm… Thời gian bảo hành lên đến 16 năm","magento_graphql"
